,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
212,INFINITI Q50,3.0,Gasoline,19.0,27.0,22.0,4,8.07766,11.47878,9.35308
213,INFINITI Q50 Red Sport,3.0,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
214,INFINITI Q50 Red Sport,3.0,Gasoline,19.0,26.0,22.0,4,8.07766,11.05364,9.35308
215,INFINITI Q60,2.0,Gasoline,22.0,30.0,25.0,5,9.35308,12.7542,10.6285
216,INFINITI Q60,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
217,INFINITI Q60,3.0,Gasoline,19.0,28.0,22.0,4,8.07766,11.903920000000001,9.35308
218,INFINITI Q60,3.0,Gasoline,19.0,27.0,22.0,4,8.07766,11.47878,9.35308
219,INFINITI Q60 Red Sport,3.0,Gasoline,20.0,27.0,22.0,4,8.5028,11.47878,9.35308
220,INFINITI Q60 Red Sport,3.0,Gasoline,19.0,26.0,21.0,4,8.07766,11.05364,8.92794
221,INFINITI Q70,3.7,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
222,INFINITI Q70,3.7,Gasoline,18.0,24.0,20.0,4,7.65252,10.20336,8.5028
223,INFINITI Q70,5.6,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
224,INFINITI Q70,5.6,Gasoline,16.0,23.0,18.0,3,6.80224,9.778220000000001,7.65252
225,INFINITI QX30,2.0,Gasoline,24.0,33.0,27.0,6,10.20336,14.029620000000001,11.47878
226,INFINITI QX30,2.0,Gasoline,21.0,30.0,25.0,5,8.92794,12.7542,10.6285
227,INFINITI QX80,5.6,Gasoline,14.0,20.0,16.0,2,5.951960000000001,8.5028,6.80224
228,INFINITI QX80,5.6,Gasoline,13.0,19.0,15.0,2,5.52682,8.07766,6.3771
229,JAGUAR F-Pace,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
230,JAGUAR F-Type R Convertible,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
