,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
397,ROUSH F150,5.0,Gasoline,11.0,15.0,12.0,1,4.67654,6.3771,5.10168
398,ROUSH F150,5.0,Gasoline,11.0,15.0,12.0,1,4.67654,6.3771,5.10168
399,ROUSH Stage 3 Mustang,5.0,Gasoline,13.0,20.0,15.0,2,5.52682,8.5028,6.3771
400,ROUSH Stage 3 Mustang,5.0,Gasoline,12.0,19.0,15.0,2,5.10168,8.07766,6.3771
401,SUBARU Ascent,2.4,Gasoline,21.0,27.0,23.0,5,8.92794,11.47878,9.778220000000001
402,SUBARU Ascent Limited/Touring,2.4,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
403,SUBARU Legacy,3.6,Gasoline,20.0,28.0,23.0,5,8.5028,11.903920000000001,9.778220000000001
404,SUBARU Outback AWD,3.6,Gasoline,20.0,27.0,22.0,4,8.5028,11.47878,9.35308
405,TOYOTA 4Runner,4.0,Gasoline,17.0,21.0,18.0,3,7.22738,8.92794,7.65252
406,TOYOTA 4Runner,4.0,Gasoline,17.0,20.0,18.0,3,7.22738,8.5028,7.65252
407,TOYOTA C-HR,2.0,Gasoline,27.0,31.0,29.0,6,11.47878,13.17934,12.32906
408,TOYOTA Corolla,1.8,Gasoline,28.0,36.0,32.0,7,11.903920000000001,15.30504,13.60448
409,TOYOTA Corolla,1.8,Gasoline,27.0,35.0,30.0,7,11.47878,14.879900000000001,12.7542
410,TOYOTA Corolla,1.8,Gasoline,28.0,35.0,31.0,7,11.903920000000001,14.879900000000001,13.17934
411,TOYOTA Highlander,2.7,Gasoline,20.0,24.0,22.0,4,8.5028,10.20336,9.35308
412,TOYOTA Land Cruiser,5.7,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
413,TOYOTA Tundra,4.6,Gasoline,15.0,19.0,16.0,2,6.3771,8.07766,6.80224
414,TOYOTA Tundra,4.6,Gasoline,14.0,18.0,16.0,2,5.951960000000001,7.65252,6.80224
415,TOYOTA Yaris,1.5,Gasoline,30.0,35.0,32.0,7,12.7542,14.879900000000001,13.60448
416,TOYOTA Yaris,1.5,Gasoline,30.0,39.0,34.0,8,12.7542,16.580460000000002,14.45476
417,TOYOTA Yaris,1.5,Gasoline,32.0,40.0,35.0,8,13.60448,17.0056,14.879900000000001
418,VOLKSWAGEN Arteon,2.0,Gasoline,22.0,31.0,25.0,5,9.35308,13.17934,10.6285
419,VOLKSWAGEN Arteon 4Motion,2.0,Gasoline,20.0,27.0,23.0,5,8.5028,11.47878,9.778220000000001
420,VOLKSWAGEN Atlas,2.0,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
421,VOLKSWAGEN Golf R,2.0,Gasoline,23.0,30.0,26.0,5,9.778220000000001,12.7542,11.05364
422,VOLKSWAGEN Golf R,2.0,Gasoline,21.0,29.0,24.0,5,8.92794,12.32906,10.20336
